"Select License (from boot and Channel, Wii Menu Channel only)",0x9A,"0x06, 0x07, 0x0B, 0x0D, 0x11, 0x12, 0x26"
Select License (Wii Menu Channel only),0x9B,"0x06, 0x07, 0x0B, 0x0D, 0x11, 0x12, 0x26"
Select License (Wii Menu Channel only),0x9C,"0x06, 0x07, 0x0B, 0x0D, 0x11, 0x12, 0x26"
"Select License (back from options, Wii Menu Channel only)",0x9D,"0x06, 0x07, 0x0B, 0x0D, 0x11, 0x12, 0x26"
"Mario Kart Channel (from license select, Wii Menu Channel only)",0x9E,"0x06, 0x0A, 0x0B, 0x0E, 0x0F, 0x11, 0x23, 0x24, 0x25, 0x26"
"Mario Kart Channel (from Time Trial check rankings, Wii Menu Channel only)",0x9F,"0x06, 0x0A, 0x0B, 0x0E, 0x0F, 0x11, 0x23, 0x24, 0x25, 0x26"
"Mario Kart Channel (from downloaded ghost data list, Wii Menu Channel only)",0xA0,"0x06, 0x0A, 0x0B, 0x0E, 0x0F, 0x11, 0x23, 0x24, 0x25, 0x26"
Mario Kart Channel leaderboards (Wii Menu Channel only),0xA1,"0x07, 0x08, 0x09, 0x0A, 0x0B, 0x13, 0x14, 0x15, 0x16, 0x17, 0x19, 0x1A, 0x1C, 0x26, 0x29, 0x2A, 0x2C, 0x2D, 0x2E, 0x2F, 0x30, 0x31"
Mario Kart Channel competition leaderboard (Wii Menu Channel only),0xA2,"0x07, 0x08, 0x09, 0x0A, 0x0B, 0x15, 0x16, 0x17, 0x19, 0x1A, 0x1C, 0x2B, 0x2C, 0x2D, 0x30, 0x31, 0x32"
Unknown (Wii Menu Channel only),0xA3,"0x11, 0x21, 0x22, 0x26"
Downloaded Ghost Data List (Wii Menu Channel only),0xA4,"0x06, 0x08, 0x0A, 0x11, 0x26, 0x29, 0x33, 0x34, 0x35"
Friends List (Wii Menu Channel only),0xA5,"0x05, 0x06, 0x07, 0x08, 0x09, 0x0A, 0x0B, 0x11, 0x15, 0x16, 0x17, 0x18, 0x19, 0x1A, 0x1B, 0x1C, 0x1D, 0x1E, 0x1F, 0x20, 0x26, 0x27, 0x28, 0x29"
Competition/Tournament (Wii Menu Channel only),0xA6,"0x26, 0x36, 0x37"
Unknown (Wii Menu Channel only),0xA7,"0x08, 0x0A, 0x0B, 0x11, 0x39, 0x3A, 0x3B"
Received Friend Invitation (Wii Menu Channel only),0xA8,"0x08, 0x0A, 0x0B, 0x11, 0x3C, 0x3D"
Download Latest Data (Wii Menu Channel only),0xA9,"0x09, 0x0A, 0x0B, 0x11, 0x38"
Options (Wii Menu Channel only),0xAA,"0x07, 0x10, 0x3E, 0x3F, 0x40, 0x41, 0x42, 0x43, 0x44, 0x45, 0x46, 0x47, 0x48"
Choose Region (Wii Menu Channel only),0xAB,"0x10, 0x43, 0x48"
Join Message Service (Wii Menu Channel only),0xAC,"0x07, 0x10, 0x40, 0x41, 0x44, 0x45, 0x46, 0x47, 0x48"
